iter	RMSE
231	4.184433697
232	4.179313249
233	4.175915992
234	4.173094761
235	4.16985368
236	4.160191046
237	4.152398731
238	4.148130142
239	4.144367532
240	4.138568018
241	4.134201051
242	4.126746438
243	4.120516232
244	4.117825464
245	4.115133972
246	4.11218102
247	4.103796498
248	4.100928328
249	4.09881446
250	4.093607854
251	4.091047989
252	4.083461973
253	4.080434481
254	4.076481099
255	4.075275559
256	4.069899466
257	4.069608754
258	4.061875564
259	4.055485965
260	4.053640539
261	4.050316741
262	4.046506847
263	4.037081801
264	4.035244612
265	4.030022796
266	4.028640671
267	4.026098405
268	4.019025928
269	4.018704391
270	4.017387885
271	4.014934076
272	4.010192953
273	4.009416469
274	4.007972005
275	4.000322317
276	3.996934694
277	3.99031521
278	3.989276865
279	3.981931919
280	3.980399983
281	3.973940503
282	3.966705108
283	3.963014534
284	3.957320546
285	3.955248551
286	3.9485119
287	3.941838051
288	3.93680674
289	3.933630586
290	3.928242725
291	3.925086054
292	3.918848032
293	3.914312414
294	3.905007446
295	3.903077981
296	3.896806246
297	3.896488676
298	3.893805974
299	3.892626283
300	3.883677013
301	3.883105193
302	3.881450887
303	3.879984608
304	3.875424766
305	3.872060578
306	3.868023267
307	3.864301783
308	3.859341515
309	3.855398055
310	3.850665418
311	3.847594327
312	3.847330928
313	3.843400294
314	3.843218373
315	3.841566647
316	3.83986791
317	3.835034154
318	3.828321681
319	3.825444
320	3.820336616
321	3.815337255
322	3.812337432
323	3.809629877
324	3.808773026
325	3.808344572
326	3.80121188
327	3.795750308
328	3.791213293
329	3.784067188
330	3.779085959
331	3.776465359
332	3.773856122
333	3.771543206
334	3.763789792
335	3.757618873
336	3.754064402
337	3.748479966
338	3.745706661
339	3.744466489
340	3.738921261
341	3.732543081
342	3.727147214
343	3.724741961
344	3.721721339
345	3.715575067
346	3.715413973
347	3.711993921
348	3.709708826
349	3.705607978
350	3.70428986
351	3.701646217
352	3.69904099
353	3.696097134
354	3.693449122
355	3.688635272
356	3.683973418
357	3.677225678
358	3.668905922
359	3.666764809
360	3.66086319
361	3.656535638
362	3.651668201
